case,call,stage,cache_slots,active_batch,input_lengths,prior_lengths,slots,total_input_tokens,input_form,input_device,distribution,all_logits,baseline_median_ms,optimized_median_ms,speedup
batch_4_tensor32,0,prefill,4,4,"[1024, 1024, 1024, 1024]","[0, 0, 0, 0]","[0, 1, 2, 3]",4096,tensor32,cpu,low_uniform,False,168.2609989948105,158.5673255030997,1.0611328560972753
batch_4_tensor32,1,decode,4,4,"[1, 1, 1, 1]","[1024, 1024, 1024, 1024]","[0, 1, 2, 3]",4,tensor32,cpu,low_uniform,False,26.642621000064537,13.456647007842548,1.9798855528080055
batch_8,0,prefill,8,8,"[512, 512, 512, 512, 512, 512, 512, 512]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7]",4096,lists,cpu,alternating,False,160.7460824889131,150.1829624758102,1.0703350089715022
batch_8,1,decode,8,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[512, 512, 512, 512, 512, 512, 512, 512]","[0, 1, 2, 3, 4, 5, 6, 7]",8,lists,cpu,alternating,False,27.492190507473424,16.126370479469188,1.7047971546030332
batch_16_length_2048,0,prefill,16,16,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",32768,lists,cpu,uniform,False,1292.6725930155953,1242.1574809995946,1.0406672364725849
batch_16_length_2048,1,decode,16,16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",16,lists,cpu,uniform,False,30.28731448284816,16.800616489490494,1.802750184899118
batch_32_length_1024,0,prefill,32,32,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",32768,lists,cpu,uniform,False,1298.6495155055309,1241.3413239992224,1.0461663447420562
batch_32_length_1024,1,decode,32,32,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",32,lists,cpu,uniform,False,35.256569492048584,17.041535989847034,2.0688610177541307
batch_64_length_512,0,prefill,64,64,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",32768,lists,cpu,uniform,False,1302.6839319936698,1243.0143724923255,1.0480039175908344
batch_64_length_512,1,decode,64,64,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",64,lists,cpu,uniform,False,44.580206493264996,19.565655995393172,2.278492809224573
batch_32_ragged,0,prefill,32,32,"[256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",30720,lists,cpu,uniform,False,1221.9475134916138,1168.029509994085,1.0461615079381015
batch_32_ragged,1,decode,32,32,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048, 256, 512, 1024, 2048]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",32,lists,cpu,uniform,False,35.30445999058429,18.4144374798052,1.917216316235676
batch_3_length_2053,0,prefill,3,3,"[2053, 2053, 2053]","[0, 0, 0]","[0, 1, 2]",6159,lists,cpu,uniform,False,257.9703600058565,245.27641051099636,1.051753649967456
batch_3_length_2053,1,decode,3,3,"[1, 1, 1]","[2053, 2053, 2053]","[0, 1, 2]",3,lists,cpu,uniform,False,25.64549900125712,12.692200994933955,2.020571452618299
batch_7_length_1000,0,prefill,7,7,"[1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6]",7000,lists,cpu,uniform,False,284.9487500061514,269.4905729877064,1.057360733798841
batch_7_length_1000,1,decode,7,7,"[1, 1, 1, 1, 1, 1, 1]","[1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 1, 2, 3, 4, 5, 6]",7,lists,cpu,uniform,False,25.47849150141701,16.569069994147867,1.5377140364797734
batch_17_length_769,0,prefill,17,17,"[769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",13073,lists,cpu,uniform,False,530.084172001807,501.73463551618624,1.0565030485815567
batch_17_length_769,1,decode,17,17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769, 769]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",17,lists,cpu,uniform,False,25.408535497263074,16.60300801449921,1.5303573590444637
batch_33_length_513,0,prefill,33,33,"[513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",16929,lists,cpu,uniform,False,690.9787240147125,649.6241560089402,1.0636592214486604
batch_33_length_513,1,decode,33,33,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",33,lists,cpu,uniform,False,25.507493992336094,16.9408864894649,1.5056764596232048
batch_63_length_257,0,prefill,63,63,"[257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",16191,lists,cpu,uniform,False,664.8114565032301,629.7708179918118,1.0556403020120153
batch_63_length_257,1,decode,63,63,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257, 257]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]",63,lists,cpu,uniform,False,26.3050584908342,18.661016001715325,1.4096262758906712
ragged_lengths,0,prefill,6,6,"[128, 255, 512, 1023, 2048, 4096]","[0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5]",8062,lists,cpu,uniform,False,332.71288298419677,316.66810548631474,1.0506674881994877
ragged_lengths,1,decode,6,6,"[1, 1, 1, 1, 1, 1]","[128, 255, 512, 1023, 2048, 4096]","[0, 1, 2, 3, 4, 5]",6,lists,cpu,uniform,False,27.99451600003522,16.709583505871706,1.6753568986443028
page_1023_to_1025,0,prefill,1,1,[1023],[0],[0],1023,lists,cpu,uniform,False,49.998695991234854,42.74979648471344,1.1695657079704107
page_1023_to_1025,1,decode,1,1,[1],[1023],[0],1,lists,cpu,uniform,False,24.898756499169394,10.998853991623037,2.2637591623757185
page_1023_to_1025,2,decode,1,1,[1],[1024],[0],1,lists,cpu,uniform,False,25.385042506968603,11.079142015660182,2.291246241910003
page_1023_to_1025,3,decode,1,1,[1],[1025],[0],1,lists,cpu,uniform,False,24.353398010134697,10.946596506983042,2.224746111231852
page_2048_to_2049,0,prefill,1,1,[2048],[0],[0],2048,lists,cpu,maximum,False,83.40494899312034,76.49839798978064,1.090283603118883
page_2048_to_2049,1,decode,1,1,[1],[2048],[0],1,lists,cpu,maximum,False,25.19484399817884,11.443657509516925,2.2016426109594747
page_4097,0,prefill,1,1,[4097],[0],[0],4097,lists,cpu,zeros,False,170.79448599542957,160.55098800279666,1.063802148588799
page_4097,1,decode,1,1,[1],[4097],[0],1,lists,cpu,zeros,False,24.902225981350057,12.081975000910461,2.061105570858531
length_255_256_257,0,prefill,3,3,"[255, 256, 257]","[0, 0, 0]","[0, 1, 2]",768,lists,cpu,ramp,False,42.88223401817959,33.49981548672076,1.2800737375755993
length_255_256_257,1,decode,3,3,"[1, 1, 1]","[255, 256, 257]","[0, 1, 2]",3,lists,cpu,ramp,False,25.18442049040459,11.395637498935685,2.210005407135558
length_511_512_513,0,prefill,3,3,"[511, 512, 513]","[0, 0, 0]","[0, 1, 2]",1536,lists,cpu,uniform,False,68.79205850418657,60.68328849505633,1.1336244328583287
length_511_512_513,1,decode,3,3,"[1, 1, 1]","[511, 512, 513]","[0, 1, 2]",3,lists,cpu,uniform,False,25.399619509698823,11.76956448762212,2.1580764128028047
length_1023_1024_1025,0,prefill,3,3,"[1023, 1024, 1025]","[0, 0, 0]","[0, 1, 2]",3072,lists,cpu,uniform,False,131.80545598152094,123.93218351644464,1.0635288771784739
length_1023_1024_1025,1,decode,3,3,"[1, 1, 1]","[1023, 1024, 1025]","[0, 1, 2]",3,lists,cpu,uniform,False,25.430339010199532,12.36423799127806,2.0567655708454105
length_2047_2048_2049,0,prefill,3,3,"[2047, 2048, 2049]","[0, 0, 0]","[0, 1, 2]",6144,lists,cpu,uniform,False,251.0280020069331,236.96309901424684,1.0593548238151655
length_2047_2048_2049,1,decode,3,3,"[1, 1, 1]","[2047, 2048, 2049]","[0, 1, 2]",3,lists,cpu,uniform,False,25.6970545015065,12.713676012936048,2.0212135715398114
length_4095_4096_4097,0,prefill,3,3,"[4095, 4096, 4097]","[0, 0, 0]","[0, 1, 2]",12288,lists,cpu,uniform,False,489.766693484853,467.6358610158786,1.0473249258961834
length_4095_4096_4097,1,decode,3,3,"[1, 1, 1]","[4095, 4096, 4097]","[0, 1, 2]",3,lists,cpu,uniform,False,26.109063008334488,13.320262485649437,1.960101239481057
normal_token_ids,0,prefill,2,2,"[512, 1536]","[0, 0]","[0, 1]",2048,lists,cpu,normal,False,89.30200251052156,81.32904398371466,1.0980333486817258
normal_token_ids,1,decode,2,2,"[1, 1]","[512, 1536]","[0, 1]",2,lists,cpu,normal,False,26.140888992813416,12.503646503319032,2.0906612311755968
zipf_token_ids,0,prefill,2,2,"[1024, 3072]","[0, 0]","[0, 1]",4096,lists,cpu,zipf,False,170.91780398914125,161.16599300585221,1.060507870186578
zipf_token_ids,1,decode,2,2,"[1, 1]","[1024, 3072]","[0, 1]",2,lists,cpu,zipf,False,26.03961349814199,13.01314750162419,2.0010234645301566
rare_maximum_ids,0,prefill,2,2,"[2049, 1025]","[0, 0]","[0, 1]",3074,lists,cpu,sparse_extremes,False,134.37716150656343,123.1538310094038,1.0911326136196495
rare_maximum_ids,1,decode,2,2,"[1, 1]","[2049, 1025]","[0, 1]",2,lists,cpu,sparse_extremes,False,25.07917351613287,12.366600989480503,2.0279762836583926
special_token_ids,0,prefill,2,2,"[768, 2048]","[0, 0]","[0, 1]",2816,lists,cpu,cycle,False,121.25337350880727,111.47846351377666,1.0876842906416864
special_token_ids,1,decode,2,2,"[1, 1]","[768, 2048]","[0, 1]",2,lists,cpu,cycle,False,26.165105489781126,12.902607501018792,2.0278928493883988
shared_prefix,0,prefill,3,3,"[1024, 2048, 4096]","[0, 0, 0]","[0, 1, 2]",7168,lists,cpu,shared_prefix,False,292.64259099727497,277.0757800026331,1.056182503553699
shared_prefix,1,decode,3,3,"[1, 1, 1]","[1024, 2048, 4096]","[0, 1, 2]",3,lists,cpu,shared_prefix,False,26.68969849764835,13.942113509983756,1.9143222782210334
strided_integer_tensor,0,prefill,2,2,"[1024, 1024]","[0, 0]","[0, 1]",2048,strided64,cpu,uniform,False,87.51676251995377,78.42675148276612,1.1159044696526177
strided_integer_tensor,1,decode,2,2,"[1, 1]","[1024, 1024]","[0, 1]",2,strided64,cpu,uniform,False,25.953118500183336,12.380109503283165,2.09635613427334
cuda_integer_tensor,0,prefill,2,2,"[2048, 2048]","[0, 0]","[0, 1]",4096,tensor64,cuda,uniform,False,169.8689935146831,159.8361600044882,1.0627694853899967
cuda_integer_tensor,1,decode,2,2,"[1, 1]","[2048, 2048]","[0, 1]",2,tensor64,cuda,uniform,False,26.034130482003093,13.081711498671211,1.9901165443564122
chunked_prefill,0,prefill,3,3,"[512, 1024, 2048]","[0, 0, 0]","[0, 1, 2]",3584,lists,cpu,uniform,False,148.37663299113046,139.61085298797116,1.062787239068832
chunked_prefill,1,prefill,3,3,"[1024, 512, 1024]","[512, 1024, 2048]","[0, 1, 2]",2560,lists,cpu,uniform,False,111.89704449498095,104.80727950925939,1.0676457305152665
chunked_prefill,2,prefill,3,3,"[512, 2048, 1024]","[1536, 1536, 3072]","[0, 1, 2]",3584,lists,cpu,uniform,False,150.5315019894624,145.54944349220023,1.0342293201384116
chunked_prefill,3,decode,3,3,"[1, 1, 1]","[2048, 3584, 4096]","[0, 1, 2]",3,lists,cpu,uniform,False,26.60842148179654,13.835663994541392,1.9231763283854253
select_and_reorder,0,prefill,3,3,"[1023, 2048, 4095]","[0, 0, 0]","[0, 1, 2]",7166,lists,cpu,uniform,False,291.6041169955861,278.9489549904829,1.0453673038693942
select_and_reorder,1,decode,3,2,"[1, 1]","[4095, 1023]","[2, 0]",2,lists,cpu,uniform,False,25.25430850801058,12.996672492590733,1.9431364853125135
select_and_reorder,2,decode,3,1,[1],[2048],[1],1,lists,cpu,uniform,False,24.362466007005423,12.354669495834969,1.9719237341977094
select_and_reorder,3,prefill,3,3,"[512, 1024, 256]","[4096, 2049, 1024]","[2, 1, 0]",1792,lists,cpu,uniform,False,75.07392500701826,72.85382100963034,1.0304734050544095
new_and_existing_slots,0,prefill,3,1,[512],[0],[1],512,lists,cpu,uniform,False,42.202803495456465,28.392374006216414,1.4864133406461997
new_and_existing_slots,1,prefill,3,2,"[1, 1024]","[512, 0]","[1, 0]",1025,lists,cpu,uniform,False,53.00392149365507,49.195735482499,1.0774088642807425
new_and_existing_slots,2,prefill,3,3,"[2048, 1, 1]","[0, 1024, 513]","[2, 0, 1]",2050,lists,cpu,uniform,False,91.70704799180385,85.19209198129829,1.0764737179119366
all_position_logits,0,prefill,2,2,"[256, 128]","[0, 0]","[0, 1]",384,lists,cpu,uniform,True,42.15938749257475,21.26245549879968,1.9828089702506257
all_position_logits,1,decode,2,2,"[1, 1]","[256, 128]","[0, 1]",2,lists,cpu,uniform,True,25.610390992369503,11.182017493410967,2.2903193459910516
long_decode_history,0,prefill,2,2,"[4093, 2045]","[0, 0]","[0, 1]",6138,lists,cpu,uniform,False,244.82182148494758,233.05529500066768,1.0504881319441646
long_decode_history,1,decode,2,2,"[1, 1]","[4093, 2045]","[0, 1]",2,lists,cpu,uniform,False,25.28293001523707,12.716797486064024,1.9881522877865998
long_decode_history,2,decode,2,2,"[1, 1]","[4094, 2046]","[0, 1]",2,lists,cpu,uniform,False,24.769831492449157,12.407784000970423,1.9963138857439724
long_decode_history,3,decode,2,2,"[1, 1]","[4095, 2047]","[0, 1]",2,lists,cpu,uniform,False,24.498213999322616,12.35048851231113,1.9835825906726257
long_decode_history,4,decode,2,2,"[1, 1]","[4096, 2048]","[0, 1]",2,lists,cpu,uniform,False,25.602356501622126,12.981695996131748,1.9721888811177715
long_decode_history,5,decode,2,2,"[1, 1]","[4097, 2049]","[0, 1]",2,lists,cpu,uniform,False,24.245161999715492,12.440123507985845,1.948948656671414
long_decode_history,6,decode,2,2,"[1, 1]","[4098, 2050]","[0, 1]",2,lists,cpu,uniform,False,24.251469993032515,11.881536498549394,2.0411055418626503
long_decode_history,7,decode,2,2,"[1, 1]","[4099, 2051]","[0, 1]",2,lists,cpu,uniform,False,24.341208991245367,11.725327509338968,2.0759513089811885
long_decode_history,8,decode,2,2,"[1, 1]","[4100, 2052]","[0, 1]",2,lists,cpu,uniform,False,24.38420499674976,11.6615340084536,2.0909946306440754
long_decode_history,9,decode,2,2,"[1, 1]","[4101, 2053]","[0, 1]",2,lists,cpu,uniform,False,24.444964481517673,11.620196004514582,2.103661975410786
long_decode_history,10,decode,2,2,"[1, 1]","[4102, 2054]","[0, 1]",2,lists,cpu,uniform,False,24.435063503915444,11.482471018098295,2.128031803032788
long_decode_history,11,decode,2,2,"[1, 1]","[4103, 2055]","[0, 1]",2,lists,cpu,uniform,False,24.653012995258905,11.408565507736057,2.160921368996119
long_decode_history,12,decode,2,2,"[1, 1]","[4104, 2056]","[0, 1]",2,lists,cpu,uniform,False,24.413352497504093,11.339596487232484,2.1529295619109248
